Image 0: Dice=0.9648, IoU=0.8719, Sensitivity=0.9908, Accuracy=0.9697, Kappa=0.9396, Specificity=0.9910
Image 1: Dice=0.9580, IoU=0.8560, Sensitivity=0.9887, Accuracy=0.9635, Kappa=0.9271, Specificity=0.9958
Image 2: Dice=0.9808, IoU=0.9147, Sensitivity=0.9941, Accuracy=0.9854, Kappa=0.9652, Specificity=0.9941
Image 3: Dice=0.9755, IoU=0.9076, Sensitivity=0.9940, Accuracy=0.9827, Kappa=0.9586, Specificity=0.9953
Image 4: Dice=0.9790, IoU=0.8883, Sensitivity=0.9881, Accuracy=0.9773, Kappa=0.9478, Specificity=0.9952
Image 5: Dice=0.9747, IoU=0.8885, Sensitivity=0.9881, Accuracy=0.9782, Kappa=0.9495, Specificity=0.9967
Image 6: Dice=0.9702, IoU=0.8417, Sensitivity=0.9639, Accuracy=0.9733, Kappa=0.9416, Specificity=0.9977
Image 7: Dice=0.9612, IoU=0.8592, Sensitivity=0.9774, Accuracy=0.9696, Kappa=0.9334, Specificity=0.9972
Image 8: Dice=0.9629, IoU=0.8625, Sensitivity=0.9475, Accuracy=0.9641, Kappa=0.9323, Specificity=0.9937
Image 9: Dice=0.9799, IoU=0.7649, Sensitivity=0.9683, Accuracy=0.9692, Kappa=0.9286, Specificity=0.9885
Image 10: Dice=0.9823, IoU=0.8019, Sensitivity=0.9845, Accuracy=0.9758, Kappa=0.9439, Specificity=0.9887
Image 11: Dice=0.9624, IoU=0.8937, Sensitivity=0.9853, Accuracy=0.9748, Kappa=0.9386, Specificity=0.9781
Image 12: Dice=0.9516, IoU=0.8733, Sensitivity=0.9788, Accuracy=0.9685, Kappa=0.9235, Specificity=0.9727
Image 13: Dice=0.9751, IoU=0.9000, Sensitivity=0.9899, Accuracy=0.9840, Kappa=0.9561, Specificity=0.9913
Image 14: Dice=0.9712, IoU=0.8912, Sensitivity=0.9905, Accuracy=0.9809, Kappa=0.9482, Specificity=0.9868
Image 15: Dice=0.9835, IoU=0.9011, Sensitivity=0.9833, Accuracy=0.9825, Kappa=0.9623, Specificity=0.9953
Image 16: Dice=0.9846, IoU=0.9076, Sensitivity=0.9736, Accuracy=0.9841, Kappa=0.9659, Specificity=0.9970
Image 17: Dice=0.9622, IoU=0.7981, Sensitivity=0.9576, Accuracy=0.9683, Kappa=0.9247, Specificity=0.9866
Image 18: Dice=0.9751, IoU=0.8226, Sensitivity=0.9563, Accuracy=0.9780, Kappa=0.9485, Specificity=0.9923
Image 19: Dice=0.9700, IoU=0.8757, Sensitivity=0.9754, Accuracy=0.9748, Kappa=0.9426, Specificity=0.9791
Image 20: Dice=0.9675, IoU=0.8990, Sensitivity=0.9765, Accuracy=0.9771, Kappa=0.9479, Specificity=0.9765
Image 21: Dice=0.9556, IoU=0.8830, Sensitivity=0.9452, Accuracy=0.9670, Kappa=0.9304, Specificity=0.9922
Image 22: Dice=0.9628, IoU=0.8934, Sensitivity=0.9146, Accuracy=0.9714, Kappa=0.9398, Specificity=0.9940
Image 23: Dice=0.9678, IoU=0.9076, Sensitivity=0.9706, Accuracy=0.9830, Kappa=0.9507, Specificity=0.9947
Image 24: Dice=0.9652, IoU=0.8965, Sensitivity=0.9695, Accuracy=0.9801, Kappa=0.9429, Specificity=0.9878
Image 25: Dice=0.9700, IoU=0.8664, Sensitivity=0.9622, Accuracy=0.9770, Kappa=0.9452, Specificity=0.9972
Image 26: Dice=0.9820, IoU=0.8634, Sensitivity=0.9657, Accuracy=0.9808, Kappa=0.9548, Specificity=0.9945
Image 27: Dice=0.9624, IoU=0.8309, Sensitivity=0.9670, Accuracy=0.9686, Kappa=0.9301, Specificity=0.9964
Image 28: Dice=0.9625, IoU=0.8312, Sensitivity=0.9643, Accuracy=0.9680, Kappa=0.9293, Specificity=0.9964
Image 29: Dice=0.9716, IoU=0.9143, Sensitivity=0.9857, Accuracy=0.9776, Kappa=0.9539, Specificity=0.9968
Image 30: Dice=0.9790, IoU=0.9211, Sensitivity=0.9901, Accuracy=0.9812, Kappa=0.9616, Specificity=0.9934
Image 31: Dice=0.9519, IoU=0.8821, Sensitivity=0.9671, Accuracy=0.9675, Kappa=0.9202, Specificity=0.9979
Image 32: Dice=0.9681, IoU=0.8801, Sensitivity=0.9697, Accuracy=0.9716, Kappa=0.9305, Specificity=0.9984
Image 33: Dice=0.9679, IoU=0.9037, Sensitivity=0.9846, Accuracy=0.9803, Kappa=0.9441, Specificity=0.9988
Image 34: Dice=0.9694, IoU=0.8976, Sensitivity=0.9777, Accuracy=0.9784, Kappa=0.9394, Specificity=0.9967
Image 35: Dice=0.9715, IoU=0.8415, Sensitivity=0.9718, Accuracy=0.9732, Kappa=0.9466, Specificity=0.9896
Image 36: Dice=0.9793, IoU=0.8506, Sensitivity=0.9690, Accuracy=0.9789, Kappa=0.9580, Specificity=0.9902
Image 37: Dice=0.9740, IoU=0.8932, Sensitivity=0.9837, Accuracy=0.9716, Kappa=0.9462, Specificity=0.9934
Image 38: Dice=0.9672, IoU=0.8808, Sensitivity=0.9816, Accuracy=0.9636, Kappa=0.9308, Specificity=0.9934
Image 39: Dice=0.9674, IoU=0.8982, Sensitivity=0.9849, Accuracy=0.9739, Kappa=0.9404, Specificity=0.9944
Image 40: Dice=0.9772, IoU=0.9045, Sensitivity=0.9872, Accuracy=0.9779, Kappa=0.9499, Specificity=0.9916
Image 41: Dice=0.9523, IoU=0.7608, Sensitivity=0.9226, Accuracy=0.9530, Kappa=0.9055, Specificity=0.9966
Image 42: Dice=0.9698, IoU=0.7594, Sensitivity=0.9186, Accuracy=0.9624, Kappa=0.9248, Specificity=0.9951
Image 43: Dice=0.9605, IoU=0.8775, Sensitivity=0.9738, Accuracy=0.9742, Kappa=0.9287, Specificity=0.9958
Image 44: Dice=0.9693, IoU=0.8849, Sensitivity=0.9750, Accuracy=0.9763, Kappa=0.9352, Specificity=0.9965
Image 45: Dice=0.9380, IoU=0.7974, Sensitivity=0.9429, Accuracy=0.9522, Kappa=0.8918, Specificity=0.9976
Image 46: Dice=0.9596, IoU=0.8379, Sensitivity=0.9451, Accuracy=0.9644, Kappa=0.9204, Specificity=0.9926
Image 47: Dice=0.9805, IoU=0.8950, Sensitivity=0.9798, Accuracy=0.9755, Kappa=0.9501, Specificity=0.9940
Image 48: Dice=0.9787, IoU=0.8863, Sensitivity=0.9760, Accuracy=0.9714, Kappa=0.9423, Specificity=0.9903
